/Pdrop X,/Pdrop Y
1.280339000000009e-06,2.306267128631024e-14
1.280340000000009e-06,2.308050360663195e-14
1.280341000000009e-06,2.309836838000001e-14
1.280342000000009e-06,2.311626566950142e-14
1.280343000000009e-06,2.31341955383899e-14
1.28034400000001e-06,2.315215805006149e-14
1.28034500000001e-06,2.317015326810473e-14
1.28034600000001e-06,2.318818125625645e-14
1.28034700000001e-06,2.320624207842324e-14
1.28034800000001e-06,2.32243357986769e-14
1.28034900000001e-06,2.324246248125547e-14
1.28035000000001e-06,2.326062219056723e-14
1.28035100000001e-06,2.327881499118054e-14
1.28035200000001e-06,2.329704094783811e-14
1.28035300000001e-06,2.331530012545341e-14
1.28035400000001e-06,2.33335925891006e-14
1.28035500000001e-06,2.335191840402992e-14
1.28035600000001e-06,2.3370277635661e-14
1.28035700000001e-06,2.338867034957816e-14
1.28035800000001e-06,2.340709661154249e-14
1.28035900000001e-06,2.342555648748593e-14
1.28036000000001e-06,2.344405004351156e-14
1.28036100000001e-06,2.346257734588961e-14
1.28036200000001e-06,2.348113846107357e-14
1.28036300000001e-06,2.349973345568484e-14
1.28036400000001e-06,2.351836239651412e-14
1.28036500000001e-06,2.353702535053736e-14
1.28036600000001e-06,2.35557223848989e-14
1.28036700000001e-06,2.357445356691685e-14
1.28036800000001e-06,2.359321896408808e-14
1.28036900000001e-06,2.361201864408822e-14
1.28037000000001e-06,2.363085267476452e-14
1.28037100000001e-06,2.364972112414595e-14
1.28037200000001e-06,2.366862406044181e-14
1.28037300000001e-06,2.368756155203331e-14
1.28037400000001e-06,2.370653366748426e-14
1.28037500000001e-06,2.372554047554334e-14
1.28037600000001e-06,2.374458204512799e-14
1.28037700000001e-06,2.376365844534799e-14
1.28037800000001e-06,2.378276974548962e-14
1.28037900000001e-06,2.380191601501554e-14
1.280380000000011e-06,2.382109732358201e-14
1.280381000000011e-06,2.384031374101587e-14
1.280382000000011e-06,2.385956533734503e-14
1.280383000000011e-06,2.387885218275866e-14
1.280384000000011e-06,2.389817434764876e-14
1.280385000000011e-06,2.391753190258728e-14
1.280386000000011e-06,2.393692491832666e-14
1.280387000000011e-06,2.39563534658106e-14
1.280388000000011e-06,2.397581761617356e-14
1.280389000000011e-06,2.399531744072788e-14
1.280390000000011e-06,2.401485301097413e-14
1.280391000000011e-06,2.403442439861347e-14
1.280392000000011e-06,2.405403167552307e-14
1.280393000000011e-06,2.407367491377842e-14
1.280394000000011e-06,2.40933541856408e-14
1.280395000000011e-06,2.411306956356261e-14
1.280396000000011e-06,2.413282112019076e-14
1.280397000000011e-06,2.415260892835494e-14
1.280398000000011e-06,2.417243306109042e-14
1.280399000000011e-06,2.419229359161691e-14
1.280400000000011e-06,2.4212190593345e-14
1.280401000000011e-06,2.423212413989713e-14
1.280402000000011e-06,2.425209430506556e-14
1.280403000000011e-06,2.42721011628511e-14
1.280404000000011e-06,2.429214478745669e-14
1.280405000000011e-06,2.431222525326794e-14
1.280406000000011e-06,2.433234263487937e-14
1.280407000000011e-06,2.435249700707651e-14
1.280408000000011e-06,2.437268844484187e-14
1.280409000000011e-06,2.439291702336426e-14
1.280410000000011e-06,2.441318281802814e-14
1.280411000000011e-06,2.443348590441308e-14
1.280412000000011e-06,2.445382635830786e-14
1.280413000000011e-06,2.447420425569649e-14
1.280414000000011e-06,2.449461967277424e-14
1.280415000000011e-06,2.451507268592564e-14
1.280416000000012e-06,2.453556337174553e-14
1.280417000000012e-06,2.455609180703656e-14
1.280418000000012e-06,2.457665806879338e-14
1.280419000000012e-06,2.459726223423277e-14
1.280420000000012e-06,2.461790438075915e-14
1.280421000000012e-06,2.46385845859952e-14
1.280422000000012e-06,2.465930292777137e-14
1.280423000000012e-06,2.468005948411895e-14
1.280424000000012e-06,2.470085433327758e-14
1.280425000000012e-06,2.472168755370343e-14
1.280426000000012e-06,2.474255922405326e-14
1.280427000000012e-06,2.476346942319908e-14
1.280428000000012e-06,2.478441823021947e-14
1.280429000000012e-06,2.480540572441163e-14
1.280430000000012e-06,2.482643198528159e-14
1.280431000000012e-06,2.484749709253682e-14
1.280432000000012e-06,2.486860112612193e-14
1.280433000000012e-06,2.488974416617349e-14
1.280434000000012e-06,2.491092629304871e-14
1.280435000000012e-06,2.493214758732783e-14
1.280436000000012e-06,2.495340812980161e-14
1.280437000000012e-06,2.497470800147225e-14
1.280438000000012e-06,2.499604728356956e-14
1.280439000000012e-06,2.501742605753166e-14
1.280440000000012e-06,2.503884440502192e-14
1.280441000000012e-06,2.506030240791607e-14
1.280442000000012e-06,2.508180014832364e-14
1.280443000000012e-06,2.510333770855907e-14
1.280444000000012e-06,2.512491517116447e-14
1.280445000000012e-06,2.51465326189031e-14
1.280446000000012e-06,2.516819013477174e-14
1.280447000000012e-06,2.518988780196095e-14
1.280448000000012e-06,2.521162570392528e-14
1.280449000000012e-06,2.523340392431519e-14
1.280450000000012e-06,2.525522254701154e-14
1.280451000000012e-06,2.527708165612643e-14
1.280452000000013e-06,2.529898133600104e-14
1.280453000000013e-06,2.532092167119601e-14
1.280454000000013e-06,2.534290274650871e-14
1.280455000000013e-06,2.536492464695898e-14
1.280456000000013e-06,2.538698745779624e-14
1.280457000000013e-06,2.54090912644989e-14
1.280458000000013e-06,2.54312361527917e-14
1.280459000000013e-06,2.54534222086113e-14
1.280460000000013e-06,2.547564951813155e-14
1.280461000000013e-06,2.549791816776992e-14
1.280462000000013e-06,2.552022824416894e-14
1.280463000000013e-06,2.554257983420067e-14
1.280464000000013e-06,2.556497302498978e-14
1.280465000000013e-06,2.558740790387933e-14
1.280466000000013e-06,2.560988455846204e-14
1.280467000000013e-06,2.56324030765538e-14
1.280468000000013e-06,2.5654963546232e-14
1.280469000000013e-06,2.567756605578612e-14
1.280470000000013e-06,2.57002106937581e-14
1.280471000000013e-06,2.572289754893858e-14
1.280472000000013e-06,2.574562671034666e-14
1.280473000000013e-06,2.576839826724739e-14
1.280474000000013e-06,2.579121230915717e-14
1.280475000000013e-06,2.581406892581555e-14
1.280476000000013e-06,2.583696820722705e-14
1.280477000000013e-06,2.585991024363189e-14
1.280478000000013e-06,2.588289512551749e-14
1.280479000000013e-06,2.590592294361801e-14
1.280480000000013e-06,2.592899378891086e-14
1.280481000000013e-06,2.595210775263677e-14
1.280482000000013e-06,2.597526492626054e-14
1.280483000000013e-06,2.599846540151923e-14
1.280484000000013e-06,2.602170927039197e-14
1.280485000000013e-06,2.604499662510174e-14
1.280486000000013e-06,2.606832755813744e-14
1.280487000000013e-06,2.609170216223053e-14
1.280488000000013e-06,2.611512053037275e-14
1.280489000000014e-06,2.613858275580746e-14
1.280490000000014e-06,2.616208893202852e-14
1.280491000000014e-06,2.618563915279197e-14
1.280492000000014e-06,2.62092335121134e-14
1.280493000000014e-06,2.623287210425904e-14
1.280494000000014e-06,2.625655502375393e-14
1.280495000000014e-06,2.628028236538891e-14
1.280496000000014e-06,2.630405422420595e-14
1.280497000000014e-06,2.632787069552367e-14
1.280498000000014e-06,2.63517318748982e-14
1.280499000000014e-06,2.637563785817233e-14
1.280500000000014e-06,2.639958874143351e-14
1.280501000000014e-06,2.642358462104832e-14
1.280502000000014e-06,2.644762559364254e-14
1.280503000000014e-06,2.647171175610048e-14
1.280504000000014e-06,2.649584320558217e-14
1.280505000000014e-06,2.652002003951809e-14
1.280506000000014e-06,2.654424235559867e-14
1.280507000000014e-06,2.65685102517844e-14
1.280508000000014e-06,2.659282382631056e-14
1.280509000000014e-06,2.661718317768524e-14
