g0_dB (T=35) X,g0_dB (T=35) Y,g0_dB (T=55) X,g0_dB (T=55) Y,g0_dB (T=70) X,g0_dB (T=70) Y,g0_dB (T=80) X,g0_dB (T=80) Y
1.298544999999432e-06,11.75820802766149,1.298544999999432e-06,10.42365523525097,1.298544999999432e-06,8.938104751944596,1.298544999999432e-06,7.648603924526651
1.298549999999431e-06,11.75790432890299,1.298549999999431e-06,10.42364517968085,1.298549999999431e-06,8.938332561985844,1.298549999999431e-06,7.6489608795809
1.298554999999431e-06,11.75760045437977,1.298554999999431e-06,10.42363494941736,1.298554999999431e-06,8.938560235728779,1.298554999999431e-06,7.649317737781223
1.298559999999431e-06,11.75729640413022,1.298559999999431e-06,10.42362454446175,1.298559999999431e-06,8.938787773151338,1.298559999999431e-06,7.649674499101327
1.298564999999431e-06,11.75699217819274,1.298564999999431e-06,10.42361396481525,1.298564999999431e-06,8.939015174231468,1.298564999999431e-06,7.650031163514932
1.298569999999431e-06,11.75668777660571,1.298569999999431e-06,10.42360321047915,1.298569999999431e-06,8.939242438947137,1.298569999999431e-06,7.650387730995768
1.298574999999431e-06,11.7563831994076,1.298574999999431e-06,10.42359228145474,1.298574999999431e-06,8.939469567276291,1.298574999999431e-06,7.650744201517519
1.298579999999431e-06,11.75607844663682,1.298579999999431e-06,10.42358117774336,1.298579999999431e-06,8.939696559196921,1.298579999999431e-06,7.65110057505392
1.298584999999431e-06,11.75577351833185,1.298584999999431e-06,10.42356989934633,1.298584999999431e-06,8.939923414687014,1.298584999999431e-06,7.651456851578699
1.298589999999431e-06,11.75546841453114,1.298589999999431e-06,10.42355844626501,1.298589999999431e-06,8.940150133724575,1.298589999999431e-06,7.651813031065573
1.298594999999431e-06,11.75516313527318,1.298594999999431e-06,10.4235468185008,1.298594999999431e-06,8.94037671628762,1.298594999999431e-06,7.652169113488286
1.298599999999431e-06,11.75485768059651,1.298599999999431e-06,10.42353501605508,1.298599999999431e-06,8.940603162354151,1.298599999999431e-06,7.652525098820536
1.298604999999431e-06,11.75455205053961,1.298604999999431e-06,10.42352303892929,1.298604999999431e-06,8.940829471902207,1.298604999999431e-06,7.652880987036067
1.298609999999431e-06,11.75424624514104,1.298609999999431e-06,10.42351088712488,1.298609999999431e-06,8.941055644909833,1.298609999999431e-06,7.65323677810861
1.298614999999431e-06,11.75394026443934,1.298614999999431e-06,10.4234985606433,1.298614999999431e-06,8.941281681355079,1.298614999999431e-06,7.653592472011901
1.29861999999943e-06,11.75363410847306,1.29861999999943e-06,10.42348605948604,1.29861999999943e-06,8.941507581216023,1.29861999999943e-06,7.65394806871969
1.29862499999943e-06,11.75332777728082,1.29862499999943e-06,10.42347338365462,1.29862499999943e-06,8.941733344470713,1.29862499999943e-06,7.654303568205685
